D	Rack SKU	Rack position		
11	GPU_GB300_NVL72_R.03	2506		
11	GPU_GB300_NVL72_R.03	2507		
11	GPU_GB300_NVL72_R.03	2508		
11	GPU_GB300_NVL72_R.03	2605		
11	GPU_GB300_NVL72_R.03	2606		
11	GPU_GB300_NVL72_R.03	2607		
11	GPU_GB300_NVL72_R.03	2608		
11	net.ad_spc4_planar_qfab_t0_1.01	2814		
11	net.ad_spc4_planar_qfab_t0_1.01	2914		
12	GPU_GB300_NVL72_R.03	2502		
12	GPU_GB300_NVL72_R.03	2503		
12	GPU_GB300_NVL72_R.03	2504		
12	GPU_GB300_NVL72_R.03	2505		
12	GPU_GB300_NVL72_R.03	2602		
12	GPU_GB300_NVL72_R.03	2603		
12	GPU_GB300_NVL72_R.03	2604		
12	net.ad_spc4_planar_qfab_t0_1.01	2809		
12	net.ad_spc4_planar_qfab_t0_1.01	2909		
13	net.ad_spc4_planar_qfab_t0_1.01	3014		
13	net.ad_spc4_planar_qfab_t0_1.01	3114		
13	GPU_GB300_NVL72_R.03	3306		
13	GPU_GB300_NVL72_R.03	3307		
13	GPU_GB300_NVL72_R.03	3308		
13	GPU_GB300_NVL72_R.03	3405		
13	GPU_GB300_NVL72_R.03	3406		
13	GPU_GB300_NVL72_R.03	3407		
13	GPU_GB300_NVL72_R.03	3408		
14	net.ad_spc4_planar_qfab_t0_1.01	3010		
14	net.ad_spc4_planar_qfab_t0_1.01	3110		
14	GPU_GB300_NVL72_R.03	3302		
14	GPU_GB300_NVL72_R.03	3303		
14	GPU_GB300_NVL72_R.03	3304		
14	GPU_GB300_NVL72_R.03	3305		
14	GPU_GB300_NVL72_R.03	3402		
14	GPU_GB300_NVL72_R.03	3403		
14	GPU_GB300_NVL72_R.03	3404		
15	GPU_GB300_NVL72_R.03	3506		
15	GPU_GB300_NVL72_R.03	3507		
15	GPU_GB300_NVL72_R.03	3508		
15	GPU_GB300_NVL72_R.03	3605		
15	GPU_GB300_NVL72_R.03	3606		
15	GPU_GB300_NVL72_R.03	3607		
15	GPU_GB300_NVL72_R.03	3608		
15	net.ad_spc4_planar_qfab_t0_1.01	3814		
15	net.ad_spc4_planar_qfab_t0_1.01	3914		
16	GPU_GB300_NVL72_R.03	3502		
16	GPU_GB300_NVL72_R.03	3503		
16	GPU_GB300_NVL72_R.03	3504		
16	GPU_GB300_NVL72_R.03	3505		
16	GPU_GB300_NVL72_R.03	3602		
16	GPU_GB300_NVL72_R.03	3603		
16	GPU_GB300_NVL72_R.03	3604		
16	net.ad_spc4_planar_qfab_t0_1.01	3809		
16	net.ad_spc4_planar_qfab_t0_1.01	3909		
17	net.ad_spc4_planar_qfab_t0_1.01	4014		
17	net.ad_spc4_planar_qfab_t0_1.01	4114		
17	GPU_GB300_NVL72_R.03	4306		
17	GPU_GB300_NVL72_R.03	4307		
17	GPU_GB300_NVL72_R.03	4308		
17	GPU_GB300_NVL72_R.03	4405		
17	GPU_GB300_NVL72_R.03	4406		
17	GPU_GB300_NVL72_R.03	4407		
17	GPU_GB300_NVL72_R.03	4408		
18	net.ad_spc4_planar_qfab_t0_1.01	4010		
18	net.ad_spc4_planar_qfab_t0_1.01	4110		
18	GPU_GB300_NVL72_R.03	4302		
18	GPU_GB300_NVL72_R.03	4303		
18	GPU_GB300_NVL72_R.03	4304		
18	GPU_GB300_NVL72_R.03	4305		
18	GPU_GB300_NVL72_R.03	4402		
18	GPU_GB300_NVL72_R.03	4403		
18	GPU_GB300_NVL72_R.03	4404		
19	GPU_GB300_NVL72_R.03	4502		
19	GPU_GB300_NVL72_R.03	4503		
19	GPU_GB300_NVL72_R.03	4504		
19	GPU_GB300_NVL72_R.03	4602		
19	GPU_GB300_NVL72_R.03	4603		
19	GPU_GB300_NVL72_R.03	4604		
19	GPU_GB300_NVL72_R.03	4605		
19	net.ad_spc4_planar_qfab_t0_1.01	4807		
19	net.ad_spc4_planar_qfab_t0_1.01	4907		
20	GPU_GB300_NVL72_R.03	4505		
20	GPU_GB300_NVL72_R.03	4506		
20	GPU_GB300_NVL72_R.03	4507		
20	GPU_GB300_NVL72_R.03	4508		
20	GPU_GB300_NVL72_R.03	4606		
20	GPU_GB300_NVL72_R.03	4607		
20	GPU_GB300_NVL72_R.03	4608		
20	net.ad_spc4_planar_qfab_t0_1.01	4812		
20	net.ad_spc4_planar_qfab_t0_1.01	4912		
21	net.ad_spc4_planar_qfab_t0_1.01	5010		
21	net.ad_spc4_planar_qfab_t0_1.01	5110		
21	GPU_GB300_NVL72_R.03	5302		
21	GPU_GB300_NVL72_R.03	5303		
21	GPU_GB300_NVL72_R.03	5304		
21	GPU_GB300_NVL72_R.03	5402		
21	GPU_GB300_NVL72_R.03	5403		
21	GPU_GB300_NVL72_R.03	5404		
21	GPU_GB300_NVL72_R.03	5405		
22	net.ad_spc4_planar_qfab_t0_1.01	5014		
22	net.ad_spc4_planar_qfab_t0_1.01	5114		
22	GPU_GB300_NVL72_R.03	5305		
22	GPU_GB300_NVL72_R.03	5306		
22	GPU_GB300_NVL72_R.03	5307		
22	GPU_GB300_NVL72_R.03	5308		
22	GPU_GB300_NVL72_R.03	5406		
22	GPU_GB300_NVL72_R.03	5407		
22	GPU_GB300_NVL72_R.03	5408		
23	GPU_GB300_NVL72_R.03	6702		
23	GPU_GB300_NVL72_R.03	6703		
23	GPU_GB300_NVL72_R.03	6704		
23	GPU_GB300_NVL72_R.03	6802		
23	GPU_GB300_NVL72_R.03	6803		
23	GPU_GB300_NVL72_R.03	6804		
23	GPU_GB300_NVL72_R.03	6805		
23	net.ad_spc4_planar_qfab_t0_1.01	7007		
23	net.ad_spc4_planar_qfab_t0_1.01	7107		
24	GPU_GB300_NVL72_R.03	6705		
24	GPU_GB300_NVL72_R.03	6706		
24	GPU_GB300_NVL72_R.03	6707		
24	GPU_GB300_NVL72_R.03	6708		
24	GPU_GB300_NVL72_R.03	6806		
24	GPU_GB300_NVL72_R.03	6807		
24	GPU_GB300_NVL72_R.03	6808		
24	net.ad_spc4_planar_qfab_t0_1.01	7012		
24	net.ad_spc4_planar_qfab_t0_1.01	7112		
25	net.ad_spc4_planar_qfab_t0_1.01	7210		
25	net.ad_spc4_planar_qfab_t0_1.01	7310		
25	GPU_GB300_NVL72_R.03	7502		
25	GPU_GB300_NVL72_R.03	7503		
25	GPU_GB300_NVL72_R.03	7504		
25	GPU_GB300_NVL72_R.03	7602		
25	GPU_GB300_NVL72_R.03	7603		
25	GPU_GB300_NVL72_R.03	7604		
25	GPU_GB300_NVL72_R.03	7605		
26	net.ad_spc4_planar_qfab_t0_1.01	7214		
26	net.ad_spc4_planar_qfab_t0_1.01	7314		
26	GPU_GB300_NVL72_R.03	7505		
26	GPU_GB300_NVL72_R.03	7506		
26	GPU_GB300_NVL72_R.03	7507		
26	GPU_GB300_NVL72_R.03	7508		
26	GPU_GB300_NVL72_R.03	7606		
26	GPU_GB300_NVL72_R.03	7607		
26	GPU_GB300_NVL72_R.03	7608		
27	GPU_GB300_NVL72_R.03	7706		
27	GPU_GB300_NVL72_R.03	7707		
27	GPU_GB300_NVL72_R.03	7708		
27	GPU_GB300_NVL72_R.03	7805		
27	GPU_GB300_NVL72_R.03	7806		
27	GPU_GB300_NVL72_R.03	7807		
27	GPU_GB300_NVL72_R.03	7808		
27	net.ad_spc4_planar_qfab_t0_1.01	8014		
27	net.ad_spc4_planar_qfab_t0_1.01	8114		
28	GPU_GB300_NVL72_R.03	7702		
28	GPU_GB300_NVL72_R.03	7703		
28	GPU_GB300_NVL72_R.03	7704		
28	GPU_GB300_NVL72_R.03	7705		
28	GPU_GB300_NVL72_R.03	7802		
28	GPU_GB300_NVL72_R.03	7803		
28	GPU_GB300_NVL72_R.03	7804		
28	net.ad_spc4_planar_qfab_t0_1.01	8009		
28	net.ad_spc4_planar_qfab_t0_1.01	8109		
29	net.ad_spc4_planar_qfab_t0_1.01	8214		
29	net.ad_spc4_planar_qfab_t0_1.01	8314		
29	GPU_GB300_NVL72_R.03	8506		
29	GPU_GB300_NVL72_R.03	8507		
29	GPU_GB300_NVL72_R.03	8508		
29	GPU_GB300_NVL72_R.03	8605		
29	GPU_GB300_NVL72_R.03	8606		
29	GPU_GB300_NVL72_R.03	8607		
29	GPU_GB300_NVL72_R.03	8608		
30	net.ad_spc4_planar_qfab_t0_1.01	8210		
30	net.ad_spc4_planar_qfab_t0_1.01	8310		
30	GPU_GB300_NVL72_R.03	8502		
30	GPU_GB300_NVL72_R.03	8503		
30	GPU_GB300_NVL72_R.03	8504		
30	GPU_GB300_NVL72_R.03	8505		
30	GPU_GB300_NVL72_R.03	8602		
30	GPU_GB300_NVL72_R.03	8603		
30	GPU_GB300_NVL72_R.03	8604		
